STATE,CORE_ENERGY,PKG_ENERGY,RAM_ENERGY,POLL_USAGE,C1_USAGE,C1E_USAGE,C3_USAGE,C6_USAGE,POLL_TIME,C1_TIME,C1E_TIME,C3_TIME,C6_TIME
0,66.69,288.75,422.94,108868279,124070001,8818317,8739104,124459220,27105995321,11751632581,4797489613,9250039699,2805553011707
1,63.14,267.08,428.80,108868279,124070331,8818428,8739330,124473699,27105995321,11751851744,4797507383,9250102347,2806061794975
2,60.57,263.25,431.22,108868330,124070362,8818573,8739495,124488145,27105999432,11751853391,4797592399,9250154402,2806570545440
3,59.82,256.82,421.69,108868337,124070362,8818837,8739696,124502705,27105999988,11751853391,4797644536,9250211567,2807079551391
4,59.09,260.05,417.35,108868350,124070507,8818932,8739900,124516668,27106001086,11751867200,4797659456,9250272648,2807588485912
5,60.78,266.51,418.93,108868350,124070875,8818932,8740106,124531119,27106001086,11751951242,4797659456,9250362327,2808098095584
6,61.58,268.20,419.21,108868435,124070949,8818932,8740375,124545645,27106013000,11751959548,4797659456,9250435999,2808607771626
7,64.27,268.16,421.31,108868460,124070949,8818932,8741059,124560645,27106016654,11751959548,4797659456,9250600458,2809116327979
8,59.94,259.14,420.09,108868480,124071062,8819052,8741280,124574178,27106019438,11751987786,4797688597,9250654925,2809623593579
9,59.49,261.52,419.96,108868480,124071156,8819298,8741280,124587496,27106019438,11751993592,4797750978,9250654925,2810129872803
10,62.33,271.21,420.12,108868660,124071188,8819615,8741280,124601298,27106034249,11751995192,4797831747,9250654925,2810636816263
11,59.83,261.27,418.51,108868668,124071188,8820027,8741280,124615330,27106034835,11751995192,4797942911,9250654925,2811144451559
12,60.59,263.74,417.90,108868683,124071435,8820188,8741280,124629851,27106036282,11752067647,4797976409,9250654925,2811654403995
13,63.57,269.07,418.27,108868683,124071924,8820188,8741280,124645016,27106036282,11752201169,4797976409,9250654925,2812163851093
14,63.65,274.93,421.81,108868877,124072086,8820188,8741280,124660030,27106078334,11752229940,4797976409,9250654925,2812673613165
15,62.39,270.90,419.18,108868916,124072086,8820188,8741280,124675290,27106085678,11752229940,4797976409,9250654925,2813183239272
16,78.34,284.51,417.16,108868969,124072458,8820290,8747733,124683794,27106096931,11752347990,4798026621,9735998584,2813207331691
17,75.99,280.63,415.39,108868969,124072600,8820408,8762700,124683794,27106096931,11752370114,4798046002,10245008219,2813207331691
18,77.99,286.44,416.31,108869015,124072640,8820615,8777886,124683794,27106100680,11752372567,4798096275,10753408232,2813207331691
19,74.82,274.50,416.39,108869030,124072640,8820997,8792480,124683794,27106101907,11752372567,4798176303,11262311818,2813207331691
20,75.28,273.42,415.34,108869033,124072983,8821072,8806892,124683794,27106102116,11752449115,4798188534,11771101771,2813207331691
21,76.52,277.40,413.96,108869033,124073414,8821072,8821415,124683794,27106102116,11752603862,4798188534,12279400301,2813207331691
22,74.64,273.24,414.04,108869142,124073497,8821072,8835827,124683794,27106117705,11752612264,4798188534,12788159650,2813207331691
23,75.44,279.54,414.80,108869176,124073497,8821072,8850648,124683794,27106122094,11752612264,4798188534,13296707443,2813207331691
24,521.10,1266.03,545.49,108869210,124073616,8829721,8857515,124683794,27106126996,11752636231,5288569290,13315360987,2813207331691
25,523.96,1269.33,545.45,108869210,124073744,8845651,8857515,124683794,27106126996,11752687400,5798088692,13315360987,2813207331691
26,524.99,1270.81,545.73,108869400,124073782,8861846,8857515,124683794,27106141850,11752689903,6307351248,13315360987,2813207331691
27,524.78,1270.78,545.74,108869412,124073782,8878231,8857515,124683794,27106142712,11752689903,6816677298,13315360987,2813207331691
28,532.52,1278.98,545.75,108869423,124083527,8883790,8857515,124683794,27106143536,12244007548,6831097174,13315360987,2813207331691
29,567.82,1314.51,545.50,108869423,124097925,8883790,8857515,124683794,27106143536,12746097236,6831097174,13315360987,2813207331691
30,921.24,1668.91,546.41,110848464,124101167,8883790,8857515,124683794,27599070008,12753340421,6831097174,13315360987,2813207331691
31,921.34,1669.97,546.41,112859506,124101167,8883790,8857515,124683794,28099684087,12753340421,6831097174,13315360987,2813207331691
