STATE,CORE_ENERGY,PKG_ENERGY,RAM_ENERGY,POLL_RES,C1_RES,C1E_RES,C3_RES,C6_RES
0,151.71,590.78,239.55,24068892,12686724,11701871,10914,366420070
1,152.71,592.27,241.91,24068892,12687005,11702075,11273,366448782
2,153.85,602.52,243.84,24069057,12687040,11702425,11722,366478137
3,152.52,594.39,242.37,24069068,12687040,11703020,12061,366507551
4,149.38,585.48,240.26,24069088,12687495,11703102,12389,366536105
5,148.56,579.59,239.97,24069088,12688303,11703102,12823,366565952
6,156.42,602.29,241.83,24069326,12688383,11703102,13349,366597245
7,149.95,586.61,240.07,24069343,12688383,11703102,14652,366627842
8,147.55,577.05,241.18,24069372,12688588,11703408,15033,366657633
9,147.76,585.13,242.22,24069372,12688842,11703920,15033,366687175
10,147.71,580.68,246.10,24069460,12688876,11704414,15033,366715149
11,149.60,586.18,246.25,24069470,12688876,11705542,15033,366744309
12,146.57,578.77,247.38,24069493,12689340,11705751,15033,366772382
13,147.33,580.39,247.83,24069493,12690036,11705751,15033,366801413
14,145.73,574.83,244.91,24069995,12690166,11705751,15033,366830481
15,147.45,579.64,245.81,24070028,12690166,11705751,15033,366859247
16,183.78,605.31,243.18,24070094,12690495,11705925,33642,366868980
17,186.17,613.86,239.86,24070094,12690749,11706137,63186,366868980
18,181.56,600.39,238.83,24070217,12690788,11706552,91332,366868980
19,186.32,617.40,242.40,24070245,12690788,11707318,121293,366868980
20,181.92,602.80,239.37,24070488,12691141,11707431,150362,366868980
21,183.91,607.93,240.43,24070488,12691820,11707431,180045,366868980
22,182.32,603.37,240.91,24070702,12691906,11707431,208608,366868980
23,183.17,603.31,242.04,24070717,12691906,11707431,238190,366868980
24,533.70,1272.94,358.64,24070748,12692104,11728966,246378,366868980
25,533.56,1273.11,358.56,24070748,12692361,11758445,246378,366868980
26,534.60,1274.46,356.97,24070851,12692551,11789094,246378,366868980
27,534.37,1274.33,361.32,24070857,12692551,11818357,246378,366868980
28,555.09,1295.17,359.63,24070876,12716314,11824305,246378,366868980
29,550.80,1290.89,365.60,24070876,12746315,11824305,246378,366868980
30,926.78,1667.61,364.17,26068582,12749544,11824305,246378,366868980
31,932.86,1674.62,355.07,28097142,12749544,11824305,246378,366868980
