,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,pollCnt,c1Cnt,c1eCnt,c3Cnt,c6Cnt,rxPackets,rxBytes,txPackets,txBytes,erxPackets,erxBytes,etxPackets,etxBytes,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,0,0,1,1,100,ondemand,16,22.53,3.27,6.34,0.37,52,52821,9006,9884,181071,795244,1127983951,812278,1130534974,10267,678887,52526,52526,6.031130326321468,0.7137608846761618,0.0,0.0,12.993932038834952,4.830205926485399,0.0,0.0,1.2993932038834952,0.0,0.0,0.0,94.7183387270766,14.654930729523556,0.0,0.0,0.0,0.0,0.0,0.0,6.034245213052858,0.7003829791753632,6.034793015102482,0.6995664531822776,22.24463996763754,3.1383811505187156,0.0,0.0,2.2244639967637543,0.0
1,1,0,1,1,100,ondemand,16,77.4,2.48,9.18,0.15,8139546,0,0,0,0,788461,1118470150,809850,1122010402,11330,783813,142856,142856,6.0253859897518875,0.735461402994767,0.0,0.0,13.609627831715208,5.020530360513297,0.0,0.0,1.360962783171521,0.0,0.0,0.0,94.91869259859536,14.3496845203151,0.0,0.0,0.0,0.0,0.0,0.0,6.0353157334048415,0.697028821502669,6.035072815533981,0.6976466326290289,20.46282365737754,2.382347807293165,0.0,0.0,2.0462823657377536,0.0
2,0,0,1,1,200,ondemand,16,28.84,2.81,6.93,0.32,266,98861,27699,26415,301528,1577208,2238376982,1606504,2241760065,8586,580661,74928,74928,12.5,0.0,0.0,0.0,23.163194444444443,4.279617560394031,0.0,0.0,2.3163194444444444,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,39.13112745098039,1.5569068550262752,0.0,0.0,3.913112745098039,0.0
3,1,0,1,1,200,ondemand,16,79.68,2.26,9.69,0.13,8051638,0,0,0,0,1579803,2238669320,1616832,2242385993,13094,863326,54599,54599,12.5,0.0,0.0,0.0,20.635416666666668,1.671272862819004,0.0,0.0,2.0635416666666666,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,36.103962418300654,1.3621262695031235,0.0,0.0,3.6103962418300655,0.0
4,0,0,1,1,300,ondemand,16,32.56,2.72,7.33,0.33,337,152158,29350,29640,320118,2368979,3357644127,2409012,3361810793,8854,601547,69705,69705,18.7447337962963,0.008293885455455176,0.0,0.0,32.10069444444444,2.021727873880022,0.0,0.0,3.2100694444444446,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,18.75,0.0,59.36233660130719,2.4105282719387726,0.0,0.0,5.9362336601307195,0.0
5,1,0,1,1,300,ondemand,16,83.52,2.36,9.71,0.16,7915495,0,0,0,0,2367214,3357617211,2421858,3362163557,8445,556093,38477,38477,18.745196759259265,0.009826422572456812,0.0,0.0,29.53125,2.007418470122988,0.0,0.0,2.953125,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.74641203703704,0.010848978709970494,18.746990740740742,0.010424064117256476,55.23080065359477,2.1536802154101116,0.0,0.0,5.523080065359476,0.0
6,0,0,1,1,400,ondemand,16,38.22,2.51,8.11,0.29,454,209307,44379,45074,400992,3139045,4453526160,3196642,4458469688,10588,711041,78426,78426,25.005324074074075,0.015558545480647917,0.0,0.0,38.75,2.637618970480502,0.0,0.0,3.875,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.998900462962965,0.0080999613218519,25.00023148148148,0.010331526913935681,81.02246732026144,2.9327835712299826,0.0,0.0,8.102246732026144,0.0
7,1,0,1,1,400,ondemand,16,87.11,2.01,10.12,0.13,7794737,0,0,0,0,3131276,4443878198,3205650,4449086924,10241,670323,38639,38639,25.0,0.0,0.0,0.0,39.98263888888889,2.810624758083996,0.0,0.0,3.998263888888889,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,72.75837418300654,2.4701421438209303,0.0,0.0,7.275837418300654,0.0
8,0,0,1,1,500,ondemand,16,41.99,2.83,8.59,0.32,567,289800,50398,47907,439178,3971887,5638564040,4049905,5645237813,12160,888209,223606,223606,31.25,0.0,0.0,0.0,52.52430555555555,3.14820294452426,0.0,0.0,5.252430555555556,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,31.25,0.0,98.06944444444444,3.5656743564430675,0.0,0.0,9.806944444444444,0.0
9,1,0,1,1,500,ondemand,16,90.21,2.4,10.42,0.16,7713218,0,0,0,0,3928493,5576204370,4037654,5583651576,8125,558590,91098,91098,31.25,0.0,0.0,0.0,49.24652777777777,2.4247452053154226,0.0,0.0,4.924652777777778,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,31.25,0.0,88.82291666666666,2.0812564798763193,0.0,0.0,8.882291666666667,0.0
10,0,0,1,1,600,ondemand,16,45.2,2.46,8.99,0.3,564,337372,56195,54993,501463,4748301,6734845895,4836354,6742899740,11942,780241,38803,38803,37.49357638888889,0.015732544239995944,0.0,0.0,60.385416666666664,2.721551970004504,0.0,0.0,6.038541666666666,0.0,0.0,0.0,599.8148148148148,0.1884708518650707,0.0,0.0,0.0,0.0,0.0,0.0,37.49768518518518,0.014535137433605624,37.49716435185185,0.014815050755081782,115.35069444444444,2.785877304439067,0.0,0.0,11.535069444444446,0.0
11,1,0,1,1,600,ondemand,16,94.37,2.0,10.62,0.08,7621110,0,0,0,0,4750302,6722707984,4858436,6729682978,9573,625922,34954,34954,37.491203703703704,0.02040562531503093,0.0,0.0,59.104166666666664,1.771411345072039,0.0,0.0,5.910416666666666,0.0,0.0,0.0,599.8564814814815,0.2888428857009061,0.0,0.0,0.0,0.0,0.0,0.0,37.490219907407415,0.02013533769219327,37.49021990740741,0.0200392908590497,111.04166666666666,2.8090878677570714,0.0,0.0,11.104166666666668,0.0
