,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,pollCnt,c1Cnt,c1eCnt,c3Cnt,c6Cnt,rxPackets,rxBytes,txPackets,txBytes,erxPackets,erxBytes,etxPackets,etxBytes,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,0,0,1,1,1000000,ondemand,16,137.21,0.87,12.64,0.18,513,589485,37462,34262,200305,59055106,85948406247,24884331,34390476040,15430,1032297,103826,103826,420365.05798611115,3435.013356328628,0.0,0.0,226.17013888888886,16.59322841755214,0.0,0.0,22.61701388888889,0.0,0.0,0.0,420341.09459422657,3414.6008466359744,0.0,0.0,57.810457516339866,16.558973159056524,0.0,5.781045751633988,420358.5580439815,3437.917122356219,420358.5407407407,3437.946836852998,920.875,10.700867635201856,0.024305555555555535,0.1002143728448737,92.0875,0.002430555555555538
1,1,0,1,1,1000000,ondemand,16,142.74,0.77,13.27,0.18,672732,0,0,0,0,48175863,69634603613,20497618,27896872610,16811,1092276,35105,35105,339139.8809027778,7392.608044964167,0.0,0.0,77.27430555555554,4.786370467657475,0.0,0.0,7.727430555555555,0.0,0.0,0.0,339152.74749795755,7413.679194230491,0.0,0.0,278.35232843137254,31.730020475523062,0.0,27.835232843137256,339137.4767939815,7392.789990249452,339137.51608796295,7392.818838581158,975.8784722222222,9.085035107037442,0.0,0.0,97.58784722222222,0.0
2,0,0,1,1,2000000,ondemand,16,141.02,1.03,12.84,0.17,291,583307,5381,6879,75474,53248684,77253389692,22857332,30952303623,14586,952376,41883,41883,376077.50682870374,5993.179349836473,0.0,0.0,199.73958333333334,20.059967126633456,0.0,0.0,19.973958333333336,0.0,0.0,0.0,376118.669189134,5978.616150746626,0.0,0.0,211.35988562091504,40.74623655447327,0.0,21.135988562091505,376076.59809027775,5993.210087903884,376076.61973379634,5993.20780409839,979.7569444444445,11.61490607783288,0.038194444444444434,0.1277990659772757,97.97569444444446,0.0038194444444444313
3,1,0,1,1,2000000,ondemand,16,143.36,0.45,12.92,0.33,867226,0,0,0,0,59775685,86565929848,25156040,34645549476,21919,1415309,34644,34644,424586.66174768517,4825.414364053648,0.0,0.0,228.0486111111111,10.560193045836089,0.0,0.0,22.804861111111112,0.0,0.0,0.0,424602.913208061,4819.507307133616,0.0,0.0,107.22446895424835,25.92180137990612,0.0,10.722446895424836,424588.6439236111,4820.987542725377,424588.6411458333,4820.993769600105,955.8923611111111,11.640335041119961,0.010416666666666656,0.0429490169335173,95.58923611111112,0.0010416666666666562
4,0,0,1,1,3000000,ondemand,16,118.95,0.64,11.61,0.15,1068,1515231,163693,148169,946238,41185772,59527782681,18532642,23979014710,14935,970190,37261,37261,292284.0670138889,3710.696161437455,0.0,0.0,950.4166666666666,0.3254270698294439,0.0,0.0,95.04166666666667,0.0,0.0,0.0,292294.75695465686,3704.3971836412475,0.0,0.0,388.9154411764706,17.12898269910283,0.0,38.89154411764706,292285.14525462966,3711.0266992818533,292285.1119791666,3711.063401736848,610.6597222222223,17.868857710558906,388.35069444444446,17.77233389143176,61.06597222222222,38.83506944444444
5,1,0,1,1,3000000,ondemand,16,142.3,1.24,12.89,0.42,435244,0,0,0,0,39885525,57874461322,16973060,23201092398,17302,1148223,100752,100752,283730.22349537036,8409.842347531774,0.0,0.0,167.71875,12.253464906938845,0.0,0.0,16.771875,0.0,0.0,0.0,283778.2340720316,8424.768078191742,0.0,0.0,391.54942810457516,26.668575881325467,0.0,39.15494281045751,283731.3351273148,8410.432476008631,283731.33871527785,8410.41655353451,989.8055555555555,3.302545868945816,0.0,0.0,98.98055555555555,0.0
6,0,0,1,1,4000000,ondemand,16,138.81,1.19,12.56,0.15,606,575496,12786,13504,121812,58880688,85536215177,24979324,34248758934,14937,992906,81947,81947,418419.28443287034,6554.72227565231,0.0,0.0,212.20486111111111,18.65649928527636,0.0,0.0,21.220486111111114,0.0,0.0,0.0,418486.5126259532,6640.655239634265,0.0,0.0,123.515522875817,32.01432717064377,0.0,12.351552287581699,418412.59016203706,6555.044888854522,418412.60439814813,6555.04452927863,951.3784722222222,21.377365911296522,5.600694444444445,11.974510261688229,95.13784722222222,0.5600694444444445
7,1,0,1,1,4000000,ondemand,16,149.38,0.52,-533.42,5957.58,837868,0,0,0,0,56371842,81904223631,23801286,32785114720,14188,921628,36717,36717,401832.0779513889,4888.441762242183,0.0,0.0,197.24305555555554,16.13401072629923,0.0,0.0,19.724305555555556,0.0,0.0,0.0,401852.9705780229,4875.262785561796,0.0,0.0,95.1732026143791,24.609886223724295,0.0,9.51732026143791,401828.890625,4887.824023312627,401828.8887731482,4887.809066977821,955.9166666666667,12.067060256515717,0.006944444444444437,0.0286326779556782,95.59166666666667,0.0006944444444444375
8,0,0,1,1,5000000,ondemand,16,136.25,0.97,12.42,0.12,443,738275,48452,44812,241580,58060342,84451025178,24586387,33808413520,15455,1003666,35039,35039,413544.81817129627,4553.902341841815,0.0,0.0,205.49305555555554,17.754522139160905,0.0,0.0,20.549305555555556,0.0,0.0,0.0,413539.0522229031,4507.863634560124,0.0,0.0,43.036560457516345,14.085960538437583,0.0,4.303656045751635,413543.55555555556,4551.346043879154,413543.56550925924,4551.351773637702,906.8888888888889,15.496412284188567,0.0,0.0,90.6888888888889,0.0
9,1,0,1,1,5000000,ondemand,16,149.89,0.5,12.71,0.35,854047,0,0,0,0,57057334,82576237395,24104660,33054910241,16470,1093956,98670,98670,403967.1321180556,4594.624847973093,0.0,0.0,200.52083333333331,9.197858037789405,0.0,0.0,20.052083333333336,0.0,0.0,0.0,403959.89830133447,4602.366359574151,0.0,0.0,143.968341503268,27.338414804750585,0.0,14.396834150326798,403965.43721064815,4595.520045722422,403965.45787037036,4595.530294785874,964.8819444444443,12.437175625556556,0.0,0.0,96.48819444444445,0.0
