,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,pollCnt,c1Cnt,c1eCnt,c3Cnt,c6Cnt,rxPackets,rxBytes,txPackets,txBytes,erxPackets,erxBytes,etxPackets,etxBytes,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,0,0,1,1,100000,ondemand,16,55.36,2.1,8.21,0.23,737,880073,44535,36324,337940,14048352,20301637109,6456024,8265370901,10815,711750,46395,46395,99997.00480324074,26.547829573312598,0.0,0.0,54.83680555555556,3.4374105361667895,0.0,0.0,5.483680555555556,0.0,0.0,0.0,99988.17078907951,14.26869000542505,0.0,0.0,4.779820261437909,4.317411336025182,0.0,0.4779820261437909,99990.92222222223,22.643794392147363,99990.91325231481,22.654316273870677,208.50347222222223,5.852557598463276,0.0,0.0,20.850347222222222,0.0
1,1,0,1,1,100000,ondemand,16,98.32,2.06,10.1,0.11,7110282,0,0,0,0,14084768,20310156271,6606628,8278669294,11725,767704,41390,41390,100000.0,0.0,0.0,0.0,52.88888888888889,3.5460789724867934,0.0,0.0,5.288888888888889,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,3.980187908496732,5.133425371608419,0.0,0.3980187908496732,100000.0,0.0,100000.0,0.0,205.63541666666669,7.736797780292777,0.0,0.0,20.563541666666666,0.0
2,0,0,1,1,200000,ondemand,16,87.58,1.41,9.84,0.23,470,722063,39284,35205,273768,27980872,40656597433,12244495,16446859559,11669,790986,95605,95605,200000.0,0.0,0.0,0.0,102.71180555555554,7.1425982393211385,0.0,0.0,10.271180555555556,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,40.74632352941177,10.65758764522176,0.0,4.074632352941176,200000.0,0.0,200000.0,0.0,456.86805555555554,11.497823340394289,0.024305555555555528,0.1002143728448737,45.68680555555555,0.0024305555555555313
3,1,0,1,1,200000,ondemand,16,112.15,1.47,11.05,0.1,5188375,0,0,0,0,27892250,40372807434,12080306,16324899919,11587,762843,41791,41791,199969.13026620372,231.38282839730832,0.0,0.0,113.72569444444444,4.137614610281471,0.0,0.0,11.372569444444444,0.0,0.0,0.0,199992.46020220587,228.6135063500542,0.0,0.0,22.60559640522876,7.829571489684583,0.0,2.2605596405228754,199968.0206597222,226.79237717626307,199967.99346064814,226.8085486081867,428.80555555555554,9.467714379673573,0.0,0.0,42.88055555555555,0.0
4,0,0,1,1,300000,ondemand,16,113.12,1.23,11.56,0.12,938,1151640,80097,67007,371031,42212298,61075135978,18172231,24523996759,13592,909653,84839,84839,299953.0217013889,115.11329363508544,0.0,0.0,152.36458333333334,5.135753480531195,0.0,0.0,15.236458333333335,0.0,0.0,0.0,299964.06093069166,116.94332030634274,0.0,0.0,35.485498366013076,10.515986533710556,0.0,3.5485498366013073,299954.1201388889,121.02078914420194,299954.12216435187,121.01035995832521,638.2604166666667,12.260070236064394,0.02777777777777775,0.1145307118227128,63.82604166666667,0.0027777777777777497
5,1,0,1,1,300000,ondemand,16,140.08,1.36,11.64,0.21,3034203,0,0,0,0,42031885,61047986534,18133620,24511661175,15857,1071105,132387,132387,299990.3033564815,350.65733075433184,0.0,0.0,153.85416666666666,11.323475782733253,0.0,0.0,15.385416666666668,0.0,0.0,0.0,299995.49894471676,354.76316608134823,0.0,0.0,87.90441176470588,17.344057017509446,0.0,8.790441176470587,299988.0994791667,354.3775146969411,299988.09143518517,354.3941816254564,700.6006944444445,20.947741639758696,0.013888888888888888,0.0572653559113564,70.06006944444445,0.0013888888888888874
6,0,0,1,1,400000,ondemand,16,143.77,1.11,12.69,0.31,675,1093527,10303,11490,111763,56146298,81638694718,24021340,32704280534,12614,867964,143681,143681,398501.49843750003,782.9281912137358,0.0,0.0,214.16319444444446,9.127192877149023,0.0,0.0,21.416319444444447,0.0,0.0,0.0,398530.6573359205,769.3979827636623,0.0,0.0,100.56311274509804,20.02716516203946,0.0,10.056311274509804,398513.5052662037,778.5214472758635,398513.4841435185,778.5210195627635,897.2534722222222,15.914811289047817,0.013888888888888874,0.0572653559113564,89.72534722222221,0.001388888888888875
7,1,0,1,1,400000,ondemand,16,144.81,0.44,12.59,0.23,1605661,0,0,0,0,56186241,81656047310,24206630,32724871914,12427,828160,82169,82169,397836.3967592592,1112.8564064365407,0.0,0.0,203.35416666666669,15.642333844807705,0.0,0.0,20.335416666666667,0.0,0.0,0.0,397863.7150326797,1088.021290298741,0.0,0.0,37.04227941176471,11.190462870590519,0.0,3.704227941176471,397864.4203703703,1091.0612058715615,397864.4390625,1091.0476067339482,868.9444444444445,12.39379190108367,0.0,0.0,86.89444444444445,0.0
8,0,0,1,1,500000,ondemand,16,138.68,0.94,13.12,0.39,437,583408,30643,28301,172802,58084676,84432099663,24893314,33819765164,15060,1052004,192920,192920,413748.3750578704,6411.031268649189,0.0,0.0,206.42361111111111,14.687268993052013,0.0,0.0,20.64236111111111,0.0,0.0,0.0,413754.70323393244,6442.764810035127,0.0,0.0,71.35682189542484,21.556076479321558,0.0,7.135682189542484,413745.5222222222,6412.605975774818,413745.51215277775,6412.615729582719,945.8993055555557,15.009694625159987,0.013888888888888874,0.0572653559113564,94.58993055555555,0.001388888888888875
9,1,0,1,1,500000,ondemand,16,147.42,0.58,12.65,0.16,870960,0,0,0,0,57959605,84273177424,24497704,33734933208,10976,721132,54205,54205,408527.3785300926,3802.9695600282685,0.0,0.0,203.68055555555557,13.594955800861474,0.0,0.0,20.368055555555557,0.0,0.0,0.0,408519.51166938996,3788.3401013762214,0.0,0.0,106.06352124183007,22.972133229122413,0.0,10.606352124183006,408527.23368055554,3799.96844250349,408527.2252893519,3799.963006156057,952.6805555555557,12.02385954782494,0.0,0.0,95.26805555555555,0.0
