,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,pollCnt,c1Cnt,c1eCnt,c3Cnt,c6Cnt,rxPackets,rxBytes,txPackets,txBytes,erxPackets,erxBytes,etxPackets,etxBytes,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,0,0,1,1,100000,ondemand,16,25.67,3.11,6.38,0.36,106,21999,2828,5216,222475,885151,1257797672,419599,514831126,12556,821153,45411,45411,6250.0,0.0,0.0,0.0,2.9722222222222223,0.978288953284139,0.0,0.0,0.2972222222222222,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,6250.0,0.0,23.413194444444446,1.1134163605050282,0.0,0.0,2.3413194444444443,0.0
1,1,0,1,1,100000,ondemand,16,75.82,2.37,9.06,0.1,8176767,0,0,0,0,887705,1261143045,439506,517367759,15513,1011903,50274,50274,6249.891030092592,6.730191237088276,0.0,0.0,3.604166666666667,0.6641564624375784,0.0,0.0,0.3604166666666666,0.0,0.0,0.0,99958.55,16.34032163426252,0.0,0.0,0.0,0.0,0.0,0.0,6247.875347222222,2.05043038457286,6247.868807870371,2.0371473799480677,21.48263888888889,1.4542148334256937,0.0,0.0,2.148263888888889,0.0
2,0,0,1,1,200000,ondemand,16,30.87,2.74,6.94,0.34,227,44635,5684,10058,310904,1775449,2534259421,839255,1031893268,13272,890145,102171,102171,12500.0,0.0,0.0,0.0,6.586805555555555,1.4753284015088692,0.0,0.0,0.6586805555555556,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,12500.0,0.0,44.920138888888886,2.0011822347960377,0.0,0.0,4.492013888888889,0.0
3,1,0,1,1,200000,ondemand,16,79.53,2.46,9.09,0.15,8002548,0,0,0,0,1752831,2498600869,876084,1020666962,14951,974745,43688,43688,12500.0,0.0,0.0,0.0,6.246527777777778,1.4247390947537981,0.0,0.0,0.6246527777777777,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,12500.0,0.0,41.451388888888886,1.8462931815792825,0.0,0.0,4.145138888888889,0.0
4,0,0,1,1,300000,ondemand,16,35.64,2.84,7.51,0.32,359,61788,10349,19024,446669,2662591,3798480192,1253204,1534743143,13984,910698,37850,37850,18749.114525462966,15.552609257458467,0.0,0.0,7.381944444444445,1.4809264511403366,0.0,0.0,0.7381944444444444,0.0,0.0,0.0,299997.1666666666,283.1920024673037,0.0,0.0,0.0,0.0,0.0,0.0,18748.931712962964,17.574531596699448,18748.937210648146,17.563499484749954,68.13194444444444,2.666648973229845,0.0,0.0,6.813194444444444,0.0
5,1,0,1,1,300000,ondemand,16,83.31,1.94,9.1,0.1,7903631,0,0,0,0,2664797,3803370921,1340033,1542917126,14850,966934,37828,37828,18749.966724537036,9.5701529800417,0.0,0.0,7.368055555555555,1.4658551759671479,0.0,0.0,0.7368055555555556,0.0,0.0,0.0,299938.4074074074,125.97559657640775,0.0,0.0,0.0,0.0,0.0,0.0,18747.96724537037,10.620088572155893,18747.976504629634,10.605902379521078,62.28125,1.7714074681812009,0.0,0.0,6.228125,0.0
6,0,0,1,1,400000,ondemand,16,43.11,2.14,8.36,0.26,538,90416,14930,27016,601869,3557046,5076230767,1677217,2047380849,14126,983026,197731,197731,25002.290335648147,9.313635679465104,0.0,0.0,9.45486111111111,1.6488838787727675,0.0,0.0,0.945486111111111,0.0,0.0,0.0,399950.1657407407,189.6800343099212,0.0,0.0,0.0,0.0,0.0,0.0,24998.160937499997,6.969900703053623,24998.162210648145,6.961966107366301,89.2673611111111,2.7624389516637837,0.0,0.0,8.926736111111111,0.0
7,1,0,1,1,400000,ondemand,16,88.31,2.05,9.47,0.16,7699696,0,0,0,0,3539058,5055273516,1736213,2042981497,15267,992956,40276,40276,24998.64699074074,6.2904125297385916,0.0,0.0,9.20138888888889,1.5307132131494734,0.0,0.0,0.9201388888888888,0.0,0.0,0.0,399957.7225490196,21.91648209955971,0.0,0.0,0.0,0.0,0.0,0.0,24997.8208912037,2.4874335693713188,24997.820717592593,2.4873784505792353,85.73611111111111,2.3078380727173333,0.0,0.0,8.573611111111111,0.0
8,0,0,1,1,500000,ondemand,16,49.66,1.94,8.92,0.23,579,108342,19246,36278,705645,4310033,6160382046,2031242,2483744150,20079,1338083,129609,129609,30512.496759259262,95.26973683304965,0.0,0.0,11.01736111111111,1.7310113686829995,0.0,0.0,1.1017361111111112,0.0,0.0,0.0,488212.1235294117,1295.433218677914,0.0,0.0,0.0,0.0,0.0,0.0,30511.60185185185,94.02810841709625,30511.61099537037,94.0159713892254,115.71548202614379,4.487641871688588,0.0,0.0,11.571548202614379,0.0
9,1,0,1,1,500000,ondemand,16,89.17,1.37,9.56,0.1,7587540,0,0,0,0,4331837,6197532823,2089679,2501732285,13110,852993,38507,38507,30738.47818287037,129.35603980228234,0.0,0.0,11.42013888888889,1.7806370258051798,0.0,0.0,1.1420138888888889,0.0,0.0,0.0,491955.0101851852,1973.585926191159,0.0,0.0,0.0,0.0,0.0,0.0,30738.657581018517,131.67037282949252,30738.66064814815,131.66579198340577,99.67361111111111,2.123469739183006,0.0,0.0,9.967361111111112,0.0
10,0,0,1,1,600000,ondemand,16,48.42,2.06,8.92,0.26,610,180648,25136,38483,798042,4298889,6146903099,2035526,2478807466,16621,1077329,37608,37608,30191.947916666664,93.00372444308819,0.0,0.0,12.45486111111111,1.809616902966228,0.0,0.0,1.245486111111111,0.0,0.0,0.0,483131.64117647056,1504.4582676461296,0.0,0.0,0.0,0.0,0.0,0.0,30189.991145833334,95.07854600476043,30189.99722222222,95.07817652496037,110.4421977124183,3.8608106898861374,0.0,0.0,11.044219771241831,0.0
11,1,0,1,1,600000,ondemand,16,89.84,1.57,9.63,0.13,7614443,0,0,0,0,4284955,6127868552,2076726,2474514431,16402,1063273,37701,37701,30287.000173611108,100.26026445647668,0.0,0.0,11.145833333333334,1.8240073283942475,0.0,0.0,1.1145833333333335,0.0,0.0,0.0,484702.6833333333,1618.694077117147,0.0,0.0,0.0,0.0,0.0,0.0,30285.736921296295,104.51588011245786,30285.74548611111,104.5148004367176,100.60416666666666,2.8377413360847306,0.0,0.0,10.060416666666669,0.0
12,0,0,1,1,100000,conservative,16,25.36,3.39,6.45,0.42,82,21689,2957,5396,219790,892645,1270423377,417307,519320696,12465,815337,46535,46535,6250.0,0.0,0.0,0.0,3.0902777777777777,0.8009245854697606,0.0,0.0,0.30902777777777773,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,6250.0,0.0,32.408088235294116,1.5272163444975506,0.0,0.0,3.2408088235294117,0.0
13,1,0,1,1,100000,conservative,16,69.8,0.56,9.14,0.15,8168889,0,0,0,0,894939,1270999590,421773,519892416,15387,1004666,51840,51840,6250.0,0.0,0.0,0.0,3.2708333333333335,0.8728920809609033,0.0,0.0,0.3270833333333333,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,6250.0,0.0,29.03125,2.07134144534332,0.0,0.0,2.903125,0.0
14,0,0,1,1,200000,conservative,16,29.46,2.93,6.98,0.37,103,27968,4584,8825,302257,1775789,2528935824,827084,1028821045,16638,1113165,106591,106591,12500.0,0.0,0.0,0.0,6.395833333333334,1.4313485039063754,0.0,0.0,0.6395833333333334,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,12500.0,0.0,62.19138071895425,2.01902715490324,0.0,0.0,6.219138071895426,0.0
15,1,0,1,1,200000,conservative,16,70.46,0.21,9.14,0.11,7899673,0,0,0,0,1790475,2547142988,852954,1037251947,15213,987487,36793,36793,12489.912326388889,17.642578569048666,0.0,0.0,5.5,1.139998935514715,0.0,0.0,0.55,0.0,0.0,0.0,199868.93431372548,248.4941620591321,0.0,0.0,0.0,0.0,0.0,0.0,12492.569328703703,14.821012196312033,12492.629571759258,14.812354333797735,60.528799019607845,2.851271809403941,0.0,0.0,6.052879901960784,0.0
16,0,0,1,1,300000,conservative,16,34.21,2.63,7.56,0.36,233,67843,12188,19188,457664,2703182,3852897981,1258583,1555800831,14254,928019,36524,36524,18745.13611111111,9.636918146097202,0.0,0.0,7.28125,1.2948195000625948,0.0,0.0,0.728125,0.0,0.0,0.0,299933.4558823529,91.7251667059271,0.0,0.0,0.0,0.0,0.0,0.0,18745.707870370374,5.901436416595027,18745.681215958608,5.934138318464889,90.4765114379085,2.3093379828405634,0.0,0.0,9.04765114379085,0.0
17,1,0,1,1,300000,conservative,16,70.67,0.29,9.13,0.17,7690967,0,0,0,0,2689079,3833420609,1281507,1549957038,14001,912211,37818,37818,18750.0,0.0,0.0,0.0,7.572916666666667,1.628301714849751,0.0,0.0,0.7572916666666667,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,18750.0,0.0,86.2826797385621,2.5525659807418437,0.0,0.0,8.62826797385621,0.0
18,0,0,1,1,400000,conservative,16,40.27,2.09,-537.73,5957.63,235,64516,11158,22386,568357,3596453,5124880580,1677430,2065138727,13381,876234,56201,56201,24998.178935185184,16.784945758393736,0.0,0.0,10.67013888888889,2.1452250382592877,0.0,0.0,1.067013888888889,0.0,0.0,0.0,399927.3823529412,300.8725556132756,0.0,0.0,0.0,0.0,0.0,0.0,24997.826586328978,16.69445196845364,24997.953802423748,16.593307232995755,120.86948529411765,3.0064086642417767,0.0,0.0,12.086948529411764,0.0
19,1,0,1,1,400000,conservative,16,70.76,0.23,-536.77,5957.61,7470324,0,0,0,0,3585339,5115534919,1725759,2065335411,16042,1046402,37966,37966,25000.14646990741,0.8365782555668613,0.0,0.0,10.291666666666666,1.7172443065447833,0.0,0.0,1.0291666666666668,0.0,0.0,0.0,399980.0333333333,17.780537980168106,0.0,0.0,0.0,0.0,0.0,0.0,24999.03877314815,1.5207130083033398,24999.040509259263,1.5223786755966895,113.14236111111111,2.6807816527774606,0.0,0.0,11.31423611111111,0.0
20,0,0,1,1,500000,conservative,16,44.08,1.75,8.87,0.28,321,120183,24393,39005,693457,4229617,6041772037,1972092,2434412180,13429,923981,163651,163651,29455.327719907407,124.28952645709228,0.0,0.0,11.253472222222221,1.9109885601847267,0.0,0.0,1.125347222222222,0.0,0.0,0.0,471162.9343137255,1819.3497543919927,0.0,0.0,0.0,0.0,0.0,0.0,29455.15664828431,124.47240396261233,29455.5884837963,125.18068988672887,140.5827205882353,3.971257508180808,0.0,0.0,14.05827205882353,0.0
21,1,0,1,1,500000,conservative,16,71.49,0.29,9.68,0.12,7172820,0,0,0,0,4424998,6319143031,2086901,2547811551,16310,1059785,40684,40684,30804.63813657407,65.66897631469047,0.0,0.0,12.059027777777779,1.6700940352579678,0.0,0.0,1.2059027777777778,0.0,0.0,0.0,493012.3083333333,947.1622212382896,0.0,0.0,0.0,0.0,0.0,0.0,30805.328356481485,63.90848037488281,30805.32505787037,63.90565868456395,147.26388888888889,2.445517134655901,0.0,0.0,14.726388888888888,0.0
22,0,0,1,1,600000,conservative,16,45.4,1.71,9.0,0.22,423,166335,34767,48788,767742,4301179,6143385591,2006261,2475293723,17816,1154403,37788,37788,29891.22771990741,298.5900071611618,0.0,0.0,11.684027777777779,2.034984890455143,0.0,0.0,1.1684027777777777,0.0,0.0,0.0,478627.6944444445,5153.48237118287,0.0,0.0,0.0,0.0,0.0,0.0,29888.750810185185,299.81504394937156,29888.747916666667,299.82540675552093,143.687704248366,3.9932374220234585,0.0,0.0,14.368770424836601,0.0
