STATE,RATE,POLICY,PKG_ENERGY,RAM_ENERGY,POLL_RES,C1_RES,C1E_RES,C3_RES,C6_RES
0,100,powersave,7521.30,1482.24,284153,1844426,7443398,0,108068811
0,100,conservative,7573.31,1454.17,285956,1856983,7486725,0,108620576
0,100,ondemand,7594.87,1465.02,288121,1869978,7530013,0,109184345
0,100,schedutil,7613.97,1461.47,290117,1881442,7578153,0,109745042
0,100,performance,7644.41,1456.25,291866,1893922,7622814,0,110301589
0,200,powersave,7586.60,1455.47,293349,1905794,7666051,0,110858209
0,200,conservative,7594.72,1450.11,294673,1917421,7712842,0,111411716
0,200,ondemand,7588.08,1436.36,295672,1927757,7754431,0,111965775
0,200,schedutil,7540.57,1435.69,296941,1939618,7801714,0,112520480
0,200,performance,7324.53,1480.07,298130,1952163,7843759,0,113106117
0,300,powersave,7607.51,1460.80,299423,1963454,7886068,0,113672612
0,300,conservative,7581.44,1432.92,300974,1974593,7932269,0,114227834
0,300,ondemand,7555.08,1444.51,302283,1986724,7978251,0,114778734
0,300,schedutil,7392.46,1451.43,303640,1998782,8018698,0,115339205
0,300,performance,7594.06,1438.26,305399,2011288,8064345,0,115899344
0,400,powersave,7635.66,1441.93,307572,2023991,8111192,0,116451630
0,400,conservative,7667.45,1457.10,308962,2035775,8159653,0,117020670
0,400,ondemand,7567.41,1488.71,311038,2048252,8204650,0,117574230
0,400,schedutil,7585.90,1476.36,312591,2060417,8247187,0,118154623
0,400,performance,7566.19,1454.50,314584,2071732,8295005,0,118701400
0,500,powersave,7603.75,1477.14,316211,2082507,8337232,0,119261145
0,500,conservative,7700.81,1476.21,317562,2094510,8377782,0,119841779
0,500,ondemand,7403.27,1467.76,319606,2106629,8420830,0,120413738
0,500,schedutil,7536.31,1512.14,321622,2117825,8462453,0,120994016
0,500,performance,7597.98,1471.04,323061,2129375,8503822,0,121557019
0,600,powersave,7663.74,1450.73,324167,2141833,8548089,0,122121071
0,600,conservative,7629.90,1457.37,326403,2153546,8598913,0,122678902
0,600,ondemand,7451.88,1482.92,328219,2166642,8649724,0,123225918
0,600,schedutil,7523.07,1510.15,330024,2179073,8693585,0,123794902
0,600,performance,7597.92,1444.38,331885,2190123,8739052,0,124354155
0,700,powersave,7459.59,1490.60,333384,2202398,8781946,0,124921791
0,700,conservative,7594.51,1463.27,335457,2213883,8831510,0,125473681
0,700,ondemand,7293.39,1456.06,337764,2225519,8877561,0,126009030
0,700,schedutil,7611.81,1455.69,339013,2236878,8926736,0,126565811
0,700,performance,7611.79,1446.37,340676,2247901,8972420,0,127120315
0,800,powersave,7594.89,1457.89,342563,2258161,9020425,0,127672545
0,800,conservative,7626.11,1462.38,344511,2270167,9069952,0,128240075
0,800,ondemand,7600.95,1454.88,345740,2282337,9119031,0,128796713
0,800,schedutil,7559.20,1470.73,347363,2294343,9165132,0,129352247
0,800,performance,7603.97,1446.71,349511,2306024,9211672,0,129896822
0,900,powersave,7592.52,1453.88,350808,2317929,9256623,0,130453353
0,900,conservative,7284.83,1446.43,352874,2331921,9303473,0,131009559
0,900,ondemand,7526.86,1478.52,354106,2344088,9356745,0,131554934
0,900,schedutil,7613.02,1446.83,356365,2355955,9400925,0,132108105
0,900,performance,7232.85,1448.53,358012,2367036,9443476,0,132654069
0,1000,powersave,7675.11,1468.98,359551,2380207,9492720,0,133217842
0,1000,conservative,7579.31,1465.61,361511,2392591,9540741,0,133766602
0,1000,ondemand,7577.97,1453.89,364474,2404914,9583741,0,134319008
0,1000,schedutil,7600.96,1461.05,366623,2418415,9626418,0,134879906
0,1000,performance,7605.81,1462.78,368652,2432542,9674035,0,135430971
0,1100,powersave,7382.76,1471.50,370747,2444180,9714381,0,135986511
0,1100,conservative,7573.07,1492.90,372524,2455799,9759246,0,136532843
0,1100,ondemand,7541.46,1459.00,374667,2469026,9806891,0,137092906
0,1100,schedutil,7547.85,1493.30,375737,2480593,9852494,0,137658083
0,1100,performance,7632.99,1453.53,377194,2491950,9898132,0,138224409
0,1200,powersave,7607.51,1464.10,379319,2504764,9946494,0,138777143
0,1200,conservative,7606.83,1476.84,381108,2517040,9992032,0,139339762
0,1200,ondemand,7580.57,1463.53,382697,2528418,10040065,0,139894788
0,1200,schedutil,7578.96,1482.71,384607,2541551,10085295,0,140457064
