STATE,PKG_ENERGY,RAM_ENERGY,POLL_RES,C1_RES,C1E_RES,C3_RES,C6_RES
0,156.24,23.69,355171874,229493,296159,102228,999602
1,156.94,23.82,355171875,229803,296298,102653,1013758
2,155.16,23.12,355172199,229810,296450,103132,1028237
3,155.44,23.74,355172200,229810,296882,103638,1043202
4,155.16,23.83,355172467,229910,296942,104111,1057732
5,154.86,23.52,355172467,230511,296942,104568,1071615
6,155.65,23.31,355172876,230554,296942,105079,1086526
7,154.85,23.48,355172884,230554,296942,106012,1100801
8,154.85,23.04,355173223,230616,297221,106341,1115170
9,155.05,22.99,355173223,231065,297854,106341,1129559
10,154.93,23.11,355173645,231075,298449,106341,1144370
11,155.78,23.63,355173646,231075,299481,106341,1159008
12,155.71,22.91,355173983,231554,299753,106341,1173244
13,154.50,23.03,355173983,232491,299753,106341,1187607
14,154.42,22.95,355174655,232655,299753,106341,1201870
15,154.33,22.40,355174703,232655,299753,106341,1218496
16,312.83,22.37,355175115,232853,299894,111780,1229536
17,313.58,22.91,355175115,233225,300033,128481,1229536
18,314.16,22.55,355175503,233231,300178,144273,1229536
19,316.71,22.35,355175504,233231,300696,160715,1229536
20,316.48,22.35,355175836,233388,300740,175369,1229536
21,318.60,22.30,355175836,233918,300740,190533,1229536
22,319.41,22.63,355176323,233946,300740,205810,1229536
23,320.78,22.21,355176332,233946,300740,222243,1229536
24,874.95,88.80,355176787,234093,308756,230497,1229536
25,875.18,89.22,355176787,234807,324429,230497,1229536
26,875.31,88.77,355177520,234811,341987,230497,1229536
27,874.90,88.79,355177521,234811,357768,230497,1229536
28,875.29,88.82,355177939,244768,363450,230497,1229536
29,875.27,89.51,355177940,260075,363450,230497,1229536
30,2507.05,90.96,357178109,263351,363450,230497,1229536
31,2528.96,94.51,359191553,263351,363450,230497,1229536
