,itr,dvfs,rate,watts_avg,watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,1.0,1.0,200000.0,79.57,2.17,1399998.8,27.354265,0.0,0.0,261.66666,29.477905,0.0,0.0,26.166666,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,3.6190476,5.1049075,0.0,0.36190477,175000.0,0.0,175000.0,0.0,456.72293,17.639898,0.93541664,2.1163473,45.67229,0.09354167
1,1.0,1.2,200000.0,61.91,0.34,1399971.8,251.49936,0.0,0.0,549.2,7.7356277,0.0,0.0,54.92,0.0,0.0,0.0,200000.02,0.10855808,0.0,0.0,368.0762,10.281814,0.0,36.807617,174997.12,92.33402,174997.12,92.34332,873.1271,21.320126,0.0,0.0,87.312706,0.0
2,1.0,1.3,200000.0,63.27,0.68,1399930.1,361.39645,0.0,0.0,531.85,7.0024333,0.0,0.0,53.185,0.0,0.0,0.0,200001.66,35.724678,0.0,0.0,311.05,8.794472,0.0,31.105,174995.45,215.71027,174995.44,215.68182,821.7729,21.803411,0.0,0.0,82.17729,0.0
3,1.0,1.4,200000.0,62.83,0.88,1399909.4,276.50967,0.0,0.0,559.6,11.808394,0.0,0.0,55.96,0.0,0.0,0.0,199987.39,90.53519,0.0,0.0,222.6,9.861208,0.0,22.26,174986.64,282.90637,174986.64,282.90097,736.11664,18.990423,0.1125,0.51957774,73.611664,0.01125
4,1.0,1.5,200000.0,64.3,0.79,1399914.2,297.99747,0.0,0.0,528.38336,7.181795,0.0,0.0,52.838333,0.0,0.0,0.0,199997.23,27.75756,0.0,0.0,229.31667,8.585271,0.0,22.931667,174990.33,202.80939,174990.33,202.79169,723.525,18.381424,0.029166667,0.13238123,72.3525,0.0029166667
5,1.0,1.6,200000.0,63.78,0.86,1399948.1,227.59792,0.0,0.0,528.63336,9.380503,0.0,0.0,52.863335,0.0,0.0,0.0,199972.81,45.514175,0.0,0.0,175.55238,8.991504,0.0,17.555239,174991.45,63.291412,174991.45,63.29922,666.17706,18.020092,0.08541667,0.27961472,66.61771,0.008541667
6,1.0,1.7,200000.0,63.41,0.85,1399835.5,664.5564,0.0,0.0,533.3333,8.275374,0.0,0.0,53.333332,0.0,0.0,0.0,199991.89,109.777145,0.0,0.0,122.52381,6.8601027,0.0,12.252381,175010.47,164.81609,175010.48,164.82037,604.9875,15.482534,2.01875,1.9043964,60.49875,0.201875
7,1.0,1.8,200000.0,64.42,1.01,1399946.4,169.50143,0.0,0.0,548.4,9.159941,0.0,0.0,54.84,0.0,0.0,0.0,199982.06,24.44081,0.0,0.0,86.19524,7.806929,0.0,8.619524,174992.53,23.810207,174992.52,23.793604,575.95416,15.921798,5.5979166,4.2711697,57.595417,0.5597917
8,1.0,1.9,200000.0,66.02,0.94,1399746.0,1115.5718,0.0,0.0,567.3333,9.623599,0.0,0.0,56.733334,0.0,0.0,0.0,199985.34,104.0295,0.0,0.0,75.70238,8.86672,0.0,7.570238,174971.53,230.49463,174971.53,230.48718,546.6813,14.128081,16.220833,8.1188545,54.668125,1.6220833
9,1.0,2.0,200000.0,70.04,1.21,1399944.2,533.9347,0.0,0.0,541.9,9.61643,0.0,0.0,54.19,0.0,0.0,0.0,199986.02,116.81657,0.0,0.0,79.814285,8.288747,0.0,7.9814286,174991.11,264.1081,174991.1,264.1079,566.2021,16.686817,5.7145834,3.3792293,56.62021,0.57145834
