,itr,dvfs,rate,watts_avg,watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,2.0,1.2,200000.0,64.06,0.29,1399953.4,392.73254,0.0,0.0,542.11664,10.858976,0.0,0.0,54.211666,0.0,0.0,0.0,199987.45,98.28148,0.0,0.0,394.56906,14.27282,0.0,39.456905,175001.84,287.41864,175001.84,287.39105,916.98126,20.015371,0.0,0.0,91.69813,0.0
1,2.0,1.3,200000.0,63.1,0.62,1399935.2,241.4874,0.0,0.0,531.8333,7.197881,0.0,0.0,53.183334,0.0,0.0,0.0,199995.55,73.9613,0.0,0.0,316.6738,7.758267,0.0,31.667381,174996.92,249.54762,174996.92,249.5387,812.17706,23.509129,0.020833334,0.105342984,81.217705,0.0020833334
2,2.0,1.4,200000.0,63.0,0.78,1400000.0,0.46690965,0.0,0.0,527.98334,10.224932,0.0,0.0,52.798332,0.0,0.0,0.0,199999.78,0.6225577,0.0,0.0,244.40953,9.428848,0.0,24.440952,174996.52,5.5006943,174996.53,5.504819,739.16876,21.999924,0.0,0.0,73.91688,0.0
3,2.0,1.5,200000.0,63.73,1.14,1399944.2,412.8325,0.0,0.0,550.11664,18.663269,0.0,0.0,55.011665,0.0,0.0,0.0,199987.11,95.2552,0.0,0.0,196.35953,9.759523,0.0,19.635952,174989.62,276.3967,174989.62,276.4057,701.9437,21.58615,0.054166667,0.25453722,70.194374,0.0054166666
4,2.0,1.6,200000.0,63.44,0.96,1400000.8,8.911514,0.0,0.0,533.73334,11.779102,0.0,0.0,53.373333,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,153.02856,9.133365,0.0,15.302857,175000.0,0.0,175000.0,0.0,637.7083,21.691444,0.029166667,0.12372963,63.770832,0.0029166667
5,2.0,1.7,200000.0,66.88,1.06,1400018.0,599.8067,0.0,0.0,574.35,11.669664,0.0,0.0,57.435,0.0,0.0,0.0,199970.67,58.1518,0.0,0.0,76.03571,10.600665,0.0,7.6035714,174985.0,66.00131,174984.98,65.959724,631.0271,17.120779,6.16875,5.269771,63.102707,0.616875
6,2.0,1.8,200000.0,64.32,0.8,1399810.8,324.14813,0.0,0.0,513.38336,6.835245,0.0,0.0,51.338333,0.0,0.0,0.0,199999.73,96.005684,0.0,0.0,104.92619,6.1126585,0.0,10.4926195,174990.77,199.2267,174990.77,199.23743,569.17914,14.61197,0.05625,0.23134942,56.917915,0.005625
7,2.0,1.9,200000.0,70.21,1.01,1399795.8,954.94714,0.0,0.0,591.98334,12.042236,0.0,0.0,59.198334,0.0,0.0,0.0,200008.8,228.68515,0.0,0.0,27.509523,7.8298674,0.0,2.7509525,174995.6,100.4072,174995.6,100.38898,561.1042,12.072287,29.758333,7.032632,56.110416,2.9758334
8,2.0,2.0,200000.0,70.46,0.78,1399778.6,531.17554,0.0,0.0,537.75,12.130768,0.0,0.0,53.775,0.0,0.0,0.0,199966.27,142.32265,0.0,0.0,86.45238,8.363602,0.0,8.645238,174978.39,255.10455,174978.39,255.11621,571.5833,17.255957,2.6958334,2.498714,57.158333,0.26958334
9,2.0,2.1,200000.0,74.85,1.05,1399951.0,555.6915,0.0,0.0,545.2167,9.567122,0.0,0.0,54.521667,0.0,0.0,0.0,199989.5,157.40672,0.0,0.0,70.40952,8.2799225,0.0,7.040952,174995.72,234.73921,174995.7,234.73938,577.76666,14.728822,5.58125,4.357848,57.77667,0.558125
