,i,itr,dvfs,rate,policy,nwindows,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1.0,100000,ondemand,16,41.13,2.63,-535.1,5957.58,18187.280787037038,95.27710618639593,0.0,0.0,10.878472222222221,1.306926253126493,0.0,0.0,1.0878472222222222,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,2.0,2.497057091387191,0.0,0.2,6249.198611111111,190.4373352131366,18187.76869212963,95.3131231988267,151.5859885620915,16.54237861183057,0.0,0.0,15.158598856209151,0.0,60
1,0,1,1.0,200000,ondemand,16,66.79,5.87,14.66,0.73,36382.166550925926,152.06613591236047,0.0,0.0,18.92013888888889,2.2527601239366004,0.0,0.0,1.8920138888888887,0.0,0.0,0.0,200019.3176470588,77.27058823529275,0.0,0.0,15.235294117647058,9.396679086500257,0.0,1.5235294117647058,12502.083312908497,276.3548313752818,36381.8015625,153.663934137877,334.6111111111111,28.62711253556956,0.0,0.0,33.46111111111111,0.0,60
2,0,1,1.0,300000,ondemand,16,93.27,5.13,18.33,0.74,54171.8859375,304.8387001076487,0.0,0.0,27.677083333333336,3.9027072406894945,0.0,0.0,2.767708333333333,0.0,0.0,0.0,299681.5205882353,171.8228864218864,0.0,0.0,67.58823529411765,21.93052887838807,0.0,6.758823529411766,18746.66132897604,375.0703964539659,54361.46197916666,182.51934801617222,530.4985702614379,41.05434445764863,0.0,0.0,53.0498570261438,0.0,60
3,0,1,1.0,100000,conservative,16,39.05,2.11,11.2,0.36,18110.991666666665,134.57652831588356,0.0,0.0,4.180555555555555,1.0569065815810201,0.0,0.0,0.4180555555555555,0.0,0.0,0.0,99971.52647058824,109.0915694487783,0.0,0.0,4.176470588235294,3.110424486212303,0.0,0.4176470588235294,6251.443855528323,185.15387143325745,18060.16394675926,151.77582977505256,170.6049836601307,18.57647583420036,0.0,0.0,17.06049836601307,0.0,60
4,0,1,1.0,200000,conservative,16,63.62,5.67,14.72,0.89,36095.57094907407,288.47125447435786,0.0,0.0,19.142361111111114,1.7010130538033201,0.0,0.0,1.9142361111111108,0.0,0.0,0.0,199971.46960784312,243.9637546230624,0.0,0.0,20.705882352941178,8.763324012660098,0.0,2.070588235294118,12505.164981617647,275.2045884087272,36327.017657271244,145.58929407676595,348.4934640522876,27.440525177325583,0.006944444444444444,0.0286326779556782,34.84934640522876,0.0006944444444444437,60
5,0,1,1.0,300000,conservative,16,93.67,4.76,18.56,0.68,54331.4484375,185.86697293874607,0.0,0.0,27.15277777777778,2.690587652153673,0.0,0.0,2.7152777777777777,0.0,0.0,0.0,299285.7549019607,571.10414108079,0.0,0.0,61.294117647058826,22.251938992531315,0.0,6.129411764705883,18721.505521514162,369.63345362447166,54339.63703022876,184.0368214114486,545.9569035947712,45.99160933761314,0.013888888888888888,0.0572653559113564,54.595690359477125,0.0013888888888888874,60
6,0,1,1.0,100000,performance,16,42.01,2.58,10.95,0.41,18173.378530092592,104.90409551625469,0.0,0.0,10.086805555555557,1.20405788940014,0.0,0.0,1.0086805555555556,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,3.0588235294117645,3.076869842499299,0.0,0.3058823529411764,6249.199594907408,189.5959085707484,18173.817361111112,104.34409631433678,151.52593954248368,18.171340629560135,0.0,0.0,15.152593954248365,0.0,60
7,0,1,1.0,200000,performance,16,66.55,5.44,14.87,0.83,36312.5400462963,145.64040861843048,0.0,0.0,7.690972222222222,1.432153874576354,0.0,0.0,0.7690972222222222,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,13.823529411764708,7.994375185220926,0.0,1.3823529411764706,12501.715189270151,271.9116378183718,36311.62280092592,146.27611611456712,305.63541666666663,26.25487599083451,0.0,0.0,30.563541666666666,0.0,60
8,0,1,1.0,300000,performance,16,92.34,5.17,18.37,0.74,54158.69641203704,480.021884344371,0.0,0.0,11.15625,2.333589417759434,0.0,0.0,1.1156249999999999,0.0,0.0,0.0,299356.237254902,345.1494475746611,0.0,0.0,110.58823529411764,24.093100851706883,0.0,11.058823529411764,18726.303935185184,380.94026209036883,54455.164872685185,204.1730984729037,528.5428921568628,38.37330009522985,0.03472222222222221,0.143163389778391,52.85428921568627,0.0034722222222222064,60
9,0,1,1.0,100000,schedutil,16,39.17,1.88,11.26,0.33,18059.038078703703,156.30480106105614,0.0,0.0,4.520833333333333,0.9694885451953257,0.0,0.0,0.4520833333333333,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,3.4705882352941178,2.99249349222986,0.0,0.3470588235294117,6252.059327342047,190.3197566056249,18112.127161628538,134.1398841521001,159.64317810457516,16.96912080478682,0.0,0.0,15.964317810457517,0.0,60
