07-30 20:54:51 | INFO   | __main__                                 || args: Namespace(log='../../logs/imgproc_cores16_frate200_3600000_fbuff-1_itr1_ondemanddvfs1_source16_mapper16_sink16_repeat0/Flinklogs/', mapper='10.10.1.3')
07-30 20:54:51 | INFO   | __main__                                 || 0.99925, 93.931931
07-30 20:55:01 | INFO   | __main__                                 || Got retcode 
07-30 20:55:03 | INFO   | __main__                                 || 0.46454999999999996, 82.689316
07-30 20:55:03 | INFO   | __main__                                 || Got retcode 
07-30 20:55:04 | INFO   | __main__                                 || 0.6202000000000001, 81.613586
07-30 20:55:04 | INFO   | __main__                                 || Got retcode 
07-30 20:55:06 | INFO   | __main__                                 || 0.6202000000000001, 82.310425
07-30 20:55:06 | INFO   | __main__                                 || Got retcode 
07-30 20:55:08 | INFO   | __main__                                 || 0.6202000000000001, 82.290146
07-30 20:55:08 | INFO   | __main__                                 || Got retcode 
07-30 20:55:09 | INFO   | __main__                                 || 0.6202000000000001, 82.698776
07-30 20:55:09 | INFO   | __main__                                 || Got retcode 
07-30 20:55:11 | INFO   | __main__                                 || 0.6202000000000001, 82.232208
07-30 20:55:11 | INFO   | __main__                                 || Got retcode 
07-30 20:55:12 | INFO   | __main__                                 || 0.6202000000000001, 82.094376
07-30 20:55:12 | INFO   | __main__                                 || Got retcode 
07-30 20:55:14 | INFO   | __main__                                 || 0.6202000000000001, 82.42067
07-30 20:55:14 | INFO   | __main__                                 || Got retcode 
07-30 20:55:15 | INFO   | __main__                                 || 0.78345, 82.512024
07-30 20:55:26 | INFO   | __main__                                 || Got retcode 
07-30 20:55:28 | INFO   | __main__                                 || 0.95025, 85.276108
07-30 20:55:28 | INFO   | __main__                                 || Got retcode 
07-30 20:55:29 | INFO   | __main__                                 || 0.95025, 84.684265
07-30 20:55:29 | INFO   | __main__                                 || Got retcode 
07-30 20:55:31 | INFO   | __main__                                 || 0.95025, 85.808456
07-30 20:55:31 | INFO   | __main__                                 || Got retcode 
07-30 20:55:32 | INFO   | __main__                                 || 0.95025, 85.138443
07-30 20:55:32 | INFO   | __main__                                 || Got retcode 
07-30 20:55:34 | INFO   | __main__                                 || 0.95025, 84.166626
07-30 20:55:34 | INFO   | __main__                                 || Got retcode 
07-30 20:55:35 | INFO   | __main__                                 || 0.95025, 87.62854
07-30 20:55:35 | INFO   | __main__                                 || Got retcode 
07-30 20:55:37 | INFO   | __main__                                 || 0.99555, 85.878265
07-30 20:55:37 | INFO   | __main__                                 || Got retcode 
07-30 20:55:38 | INFO   | __main__                                 || 0.99555, 86.565048
07-30 20:55:38 | INFO   | __main__                                 || Got retcode 
07-30 20:55:40 | INFO   | __main__                                 || 0.99555, 84.715881
07-30 20:55:40 | INFO   | __main__                                 || Got retcode 
07-30 20:55:41 | INFO   | __main__                                 || 0.99555, 85.914597
07-30 20:55:52 | INFO   | __main__                                 || Got retcode 
07-30 20:55:53 | INFO   | __main__                                 || 0.9989, 84.367188
07-30 20:55:53 | INFO   | __main__                                 || Got retcode 
07-30 20:55:55 | INFO   | __main__                                 || 0.9989, 85.265701
07-30 20:55:55 | INFO   | __main__                                 || Got retcode 
07-30 20:55:56 | INFO   | __main__                                 || 0.9989, 85.381088
07-30 20:55:56 | INFO   | __main__                                 || Got retcode 
07-30 20:55:58 | INFO   | __main__                                 || 0.9976, 84.248947
07-30 20:55:58 | INFO   | __main__                                 || Got retcode 
07-30 20:55:59 | INFO   | __main__                                 || 0.9976, 85.852173
07-30 20:55:59 | INFO   | __main__                                 || Got retcode 
07-30 20:56:01 | INFO   | __main__                                 || 0.9976, 85.693771
07-30 20:56:01 | INFO   | __main__                                 || Got retcode 
07-30 20:56:03 | INFO   | __main__                                 || 0.9976, 85.749573
07-30 20:56:03 | INFO   | __main__                                 || Got retcode 
07-30 20:56:04 | INFO   | __main__                                 || 0.9976, 87.120544
07-30 20:56:04 | INFO   | __main__                                 || Got retcode 
07-30 20:56:05 | INFO   | __main__                                 || 0.9976, 85.136337
07-30 20:56:05 | INFO   | __main__                                 || Got retcode 
07-30 20:56:07 | INFO   | __main__                                 || 0.9976, 85.374695
07-30 20:56:18 | INFO   | __main__                                 || Got retcode 
07-30 20:56:19 | INFO   | __main__                                 || 1.0014, 85.744431
07-30 20:56:19 | INFO   | __main__                                 || Got retcode 
07-30 20:56:21 | INFO   | __main__                                 || 1.0014, 85.99942
07-30 20:56:21 | INFO   | __main__                                 || Got retcode 
07-30 20:56:23 | INFO   | __main__                                 || 1.0014, 88.630264
07-30 20:56:23 | INFO   | __main__                                 || Got retcode 
07-30 20:56:24 | INFO   | __main__                                 || 1.0014, 86.577301
07-30 20:56:24 | INFO   | __main__                                 || Got retcode 
07-30 20:56:26 | INFO   | __main__                                 || 1.0014, 86.839218
07-30 20:56:26 | INFO   | __main__                                 || Got retcode 
07-30 20:56:27 | INFO   | __main__                                 || 1.0014, 88.368271
07-30 20:56:27 | INFO   | __main__                                 || Got retcode 
07-30 20:56:29 | INFO   | __main__                                 || 1.0014, 86.528427
07-30 20:56:29 | INFO   | __main__                                 || Got retcode 
07-30 20:56:30 | INFO   | __main__                                 || 1.002, 87.486237
07-30 20:56:30 | INFO   | __main__                                 || Got retcode 
07-30 20:56:32 | INFO   | __main__                                 || 1.002, 86.366989
07-30 20:56:32 | INFO   | __main__                                 || Got retcode 
07-30 20:56:33 | INFO   | __main__                                 || 1.002, 89.107971
07-30 20:56:44 | INFO   | __main__                                 || Got retcode 
07-30 20:56:46 | INFO   | __main__                                 || 1.00085, 80.593307
07-30 20:56:46 | INFO   | __main__                                 || Got retcode 
07-30 20:56:47 | INFO   | __main__                                 || 1.00085, 82.272202
07-30 20:56:47 | INFO   | __main__                                 || Got retcode 
07-30 20:56:49 | INFO   | __main__                                 || 1.00085, 79.785172
07-30 20:56:49 | INFO   | __main__                                 || Got retcode 
07-30 20:56:50 | INFO   | __main__                                 || 0.9976, 78.76712
07-30 20:56:50 | INFO   | __main__                                 || Got retcode 
07-30 20:56:52 | INFO   | __main__                                 || 0.9976, 81.269073
07-30 20:56:52 | INFO   | __main__                                 || Got retcode 
07-30 20:56:53 | INFO   | __main__                                 || 0.9976, 81.440506
07-30 20:56:53 | INFO   | __main__                                 || Got retcode 
07-30 20:56:55 | INFO   | __main__                                 || 0.9976, 80.836426
07-30 20:56:55 | INFO   | __main__                                 || Got retcode 
07-30 20:56:56 | INFO   | __main__                                 || 0.9976, 80.378448
07-30 20:56:56 | INFO   | __main__                                 || Got retcode 
07-30 20:56:58 | INFO   | __main__                                 || 0.9976, 81.536392
07-30 20:56:58 | INFO   | __main__                                 || Got retcode 
07-30 20:56:59 | INFO   | __main__                                 || 0.9976, 80.225479
07-30 20:57:12 | INFO   | __main__                                 || Got retcode 
07-30 20:57:14 | INFO   | __main__                                 || 0.9978, 82.849899
07-30 20:57:14 | INFO   | __main__                                 || Got retcode 
07-30 20:57:16 | INFO   | __main__                                 || 0.9978, 79.111984
07-30 20:57:16 | INFO   | __main__                                 || Got retcode 
07-30 20:57:17 | INFO   | __main__                                 || 0.9978, 80.511749
07-30 20:57:17 | INFO   | __main__                                 || Got retcode 
07-30 20:57:19 | INFO   | __main__                                 || 0.9978, 81.293182
07-30 20:57:19 | INFO   | __main__                                 || Got retcode 
07-30 20:57:20 | INFO   | __main__                                 || 0.9978, 80.964661
07-30 20:57:20 | INFO   | __main__                                 || Got retcode 
07-30 20:57:22 | INFO   | __main__                                 || 0.9978, 81.945038
07-30 20:57:22 | INFO   | __main__                                 || Got retcode 
07-30 20:57:23 | INFO   | __main__                                 || 0.9973000000000001, 76.823547
07-30 20:57:23 | INFO   | __main__                                 || Got retcode 
07-30 20:57:25 | INFO   | __main__                                 || 0.9973000000000001, 78.306732
07-30 20:57:25 | INFO   | __main__                                 || Got retcode 
07-30 20:57:27 | INFO   | __main__                                 || 0.9973000000000001, 76.625549
07-30 20:57:27 | INFO   | __main__                                 || Got retcode 
